PROCESS,FIELD1,FIELD2,FIELD3,FIELD4,FIELD5,DATE_REPORTED,DATE_RETEST
burs_vss_to_gl_diffcampus,25527053,2018-01-11,1622,-17871.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,25132393,2018-01-11,1425,-66404.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,26686635,2018-01-11,1425,-73325.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,28915798,2018-01-11,1425,-50677.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,25240927,2018-01-11,1425,-22000.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,26211920,2018-01-11,1425,-74834.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,26916630,2018-01-11,1425,-22000.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,26952335,2018-01-11,1425,-75602.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,23261048,2018-01-22,1651,-50000.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,24327794,2018-02-06,10005,-11478.88,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,26425793,2018-02-09,1691,-72485.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,29143047,2018-02-09,1691,-47960.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,29847788,2018-02-09,1691,-32345.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,26216477,2018-02-09,1691,-44839.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-02-09,1691,-70000.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,26911264,2018-02-09,1691,-47235.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,28325990,2018-02-09,1691,-59780.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,16491289,2018-03-26,1552,-9500.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,28352653,2018-03-28,1362,-25630.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,29876613,2018-04-05,1425,-69204.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,22391282,2018-04-09,5001,-1740.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,23719478,2018-04-12,5002,-52060.76,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,25508105,2018-04-12,5002,-78651.43,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-04-12,5002,-15888.63,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,23831650,2018-05-31,1425,-11019.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-05-31,1425,-2810.0,0,2018-07-04,2099-12-31
burs_vss_to_gl_diffcampus,25398903,2018-01-08,1554,-85269.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26228599,2018-01-08,1623,-52610.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23801719,2018-01-11,1425,-8000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25291696,2018-01-11,1425,-1955.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25367390,2018-01-11,1425,-1955.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-01-11,1425,-1955.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25527053,2018-01-11,1622,-17871.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25132393,2018-01-11,1425,-66404.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26686635,2018-01-11,1425,-73325.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,28915798,2018-01-11,1425,-50677.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25240927,2018-01-11,1425,-22000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26211920,2018-01-11,1425,-74834.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26916630,2018-01-11,1425,-22000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26952335,2018-01-11,1425,-75602.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23261048,2018-01-22,1651,-50000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,24327794,2018-02-06,10005,-11478.88,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26425793,2018-02-09,1691,-72485.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,29143047,2018-02-09,1691,-47960.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,29847788,2018-02-09,1691,-32345.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26216477,2018-02-09,1691,-44839.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-02-09,1691,-70000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26911264,2018-02-09,1691,-47235.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,28325990,2018-02-09,1691,-59780.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,16491289,2018-03-26,1552,-9500.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,28352653,2018-03-28,1362,-25630.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,29876613,2018-04-05,1425,-69204.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,22391282,2018-04-09,5001,-1740.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23719478,2018-04-12,5002,-52060.76,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25508105,2018-04-12,5002,-78651.43,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-04-12,5002,-15888.63,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23831650,2018-05-31,1425,-11019.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-05-31,1425,-2810.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25398903,2018-01-08,1554,-85269.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26228599,2018-01-08,1623,-52610.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23801719,2018-01-11,1425,-8000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25291696,2018-01-11,1425,-1955.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25367390,2018-01-11,1425,-1955.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-01-11,1425,-1955.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25527053,2018-01-11,1622,-17871.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25132393,2018-01-11,1425,-66404.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26686635,2018-01-11,1425,-73325.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,28915798,2018-01-11,1425,-50677.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25240927,2018-01-11,1425,-22000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26211920,2018-01-11,1425,-74834.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26916630,2018-01-11,1425,-22000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26952335,2018-01-11,1425,-75602.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23261048,2018-01-22,1651,-50000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,24327794,2018-02-06,10005,-11478.88,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26425793,2018-02-09,1691,-72485.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,29143047,2018-02-09,1691,-47960.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,29847788,2018-02-09,1691,-32345.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26216477,2018-02-09,1691,-44839.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-02-09,1691,-70000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26911264,2018-02-09,1691,-47235.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,28325990,2018-02-09,1691,-59780.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,16491289,2018-03-26,1552,-9500.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,28352653,2018-03-28,1362,-25630.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,29876613,2018-04-05,1425,-69204.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,22391282,2018-04-09,5001,-1740.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23719478,2018-04-12,5002,-52060.76,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25508105,2018-04-12,5002,-78651.43,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-04-12,5002,-15888.63,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23831650,2018-05-31,1425,-11019.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-05-31,1425,-2810.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25398903,2018-01-08,1554,-85269.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26228599,2018-01-08,1623,-52610.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23801719,2018-01-11,1425,-8000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25291696,2018-01-11,1425,-1955.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25367390,2018-01-11,1425,-1955.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-01-11,1425,-1955.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25527053,2018-01-11,1622,-17871.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25132393,2018-01-11,1425,-66404.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26686635,2018-01-11,1425,-73325.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,28915798,2018-01-11,1425,-50677.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25240927,2018-01-11,1425,-22000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26211920,2018-01-11,1425,-74834.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26916630,2018-01-11,1425,-22000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26952335,2018-01-11,1425,-75602.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23261048,2018-01-22,1651,-50000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,24327794,2018-02-06,10005,-11478.88,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26425793,2018-02-09,1691,-72485.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,29143047,2018-02-09,1691,-47960.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,29847788,2018-02-09,1691,-32345.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26216477,2018-02-09,1691,-44839.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-02-09,1691,-70000.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26911264,2018-02-09,1691,-47235.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,28325990,2018-02-09,1691,-59780.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,16491289,2018-03-26,1552,-9500.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,28352653,2018-03-28,1362,-25630.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,29876613,2018-04-05,1425,-69204.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,22391282,2018-04-09,5001,-1740.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23719478,2018-04-12,5002,-52060.76,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25508105,2018-04-12,5002,-78651.43,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-04-12,5002,-15888.63,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,23831650,2018-05-31,1425,-11019.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-05-31,1425,-2810.0,0,2018-07-05,2099-12-31
burs_vss_to_gl_diffcampus,25398903,2018-01-08,1554,-85269.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26228599,2018-01-08,1623,-52610.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23801719,2018-01-11,1425,-8000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25291696,2018-01-11,1425,-1955.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25367390,2018-01-11,1425,-1955.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-01-11,1425,-1955.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25527053,2018-01-11,1622,-17871.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25132393,2018-01-11,1425,-66404.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26686635,2018-01-11,1425,-73325.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,28915798,2018-01-11,1425,-50677.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25240927,2018-01-11,1425,-22000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26211920,2018-01-11,1425,-74834.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26916630,2018-01-11,1425,-22000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26952335,2018-01-11,1425,-75602.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23261048,2018-01-22,1651,-50000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,24327794,2018-02-06,10005,-11478.88,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26425793,2018-02-09,1691,-72485.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,29143047,2018-02-09,1691,-47960.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,29847788,2018-02-09,1691,-32345.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26216477,2018-02-09,1691,-44839.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-02-09,1691,-70000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26911264,2018-02-09,1691,-47235.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,28325990,2018-02-09,1691,-59780.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,16491289,2018-03-26,1552,-9500.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,28352653,2018-03-28,1362,-25630.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,29876613,2018-04-05,1425,-69204.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,22391282,2018-04-09,5001,-1740.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23719478,2018-04-12,5002,-52060.76,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25508105,2018-04-12,5002,-78651.43,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-04-12,5002,-15888.63,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23831650,2018-05-31,1425,-11019.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-05-31,1425,-2810.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25398903,2018-01-08,1554,-85269.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26228599,2018-01-08,1623,-52610.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23801719,2018-01-11,1425,-8000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25291696,2018-01-11,1425,-1955.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25367390,2018-01-11,1425,-1955.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-01-11,1425,-1955.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25527053,2018-01-11,1622,-17871.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25132393,2018-01-11,1425,-66404.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26686635,2018-01-11,1425,-73325.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,28915798,2018-01-11,1425,-50677.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25240927,2018-01-11,1425,-22000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26211920,2018-01-11,1425,-74834.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26916630,2018-01-11,1425,-22000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26952335,2018-01-11,1425,-75602.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23261048,2018-01-22,1651,-50000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,24327794,2018-02-06,10005,-11478.88,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26425793,2018-02-09,1691,-72485.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,29143047,2018-02-09,1691,-47960.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,29847788,2018-02-09,1691,-32345.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26216477,2018-02-09,1691,-44839.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-02-09,1691,-70000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26911264,2018-02-09,1691,-47235.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,28325990,2018-02-09,1691,-59780.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,16491289,2018-03-26,1552,-9500.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,28352653,2018-03-28,1362,-25630.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,29876613,2018-04-05,1425,-69204.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,22391282,2018-04-09,5001,-1740.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23719478,2018-04-12,5002,-52060.76,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25508105,2018-04-12,5002,-78651.43,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-04-12,5002,-15888.63,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23831650,2018-05-31,1425,-11019.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-05-31,1425,-2810.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25398903,2018-01-08,1554,-85269.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26228599,2018-01-08,1623,-52610.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23801719,2018-01-11,1425,-8000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25291696,2018-01-11,1425,-1955.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25367390,2018-01-11,1425,-1955.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-01-11,1425,-1955.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25527053,2018-01-11,1622,-17871.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25132393,2018-01-11,1425,-66404.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26686635,2018-01-11,1425,-73325.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,28915798,2018-01-11,1425,-50677.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25240927,2018-01-11,1425,-22000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26211920,2018-01-11,1425,-74834.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26916630,2018-01-11,1425,-22000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26952335,2018-01-11,1425,-75602.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23261048,2018-01-22,1651,-50000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,24327794,2018-02-06,10005,-11478.88,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26425793,2018-02-09,1691,-72485.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,29143047,2018-02-09,1691,-47960.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,29847788,2018-02-09,1691,-32345.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26216477,2018-02-09,1691,-44839.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-02-09,1691,-70000.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26911264,2018-02-09,1691,-47235.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,28325990,2018-02-09,1691,-59780.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,16491289,2018-03-26,1552,-9500.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,28352653,2018-03-28,1362,-25630.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,29876613,2018-04-05,1425,-69204.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,22391282,2018-04-09,5001,-1740.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23719478,2018-04-12,5002,-52060.76,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25508105,2018-04-12,5002,-78651.43,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,26287757,2018-04-12,5002,-15888.63,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,23831650,2018-05-31,1425,-11019.0,0,2018-07-06,2099-12-31
burs_vss_to_gl_diffcampus,25479695,2018-05-31,1425,-2810.0,0,2018-07-06,2099-12-31
